x,y,expected_x,expected_y,min,max,Bins,Frequency,initial_x,initial_y,act_dist
4.076,2.349,4.045,2.435,3.985,4.086,3.975,,2.049,2.435,2.02882355073082
4.064,2.393,,,,,3.98,,,,2.01543766958941
4.055,2.407,,,,,3.985,,,,2.00619540424157
4.021,2.403,,,,,3.99,,,,1.97225961779883
4.019,2.396,,,,,3.995,,,,1.97038600279235
4.035,2.384,,,,,4,,,,1.9866547259149
4.053,2.436,,,,,4.005,,,,2.00400024950098
4.018,2.414,,,,,4.01,,,,1.9691119825952
4.046,2.412,,,,,4.015,,,,1.99713244428105
4.062,2.432,,,,,4.02,,,,2.01300223546821
4.07,2.413,,,,,4.025,,,,2.02111973915451
4.063,2.411,,,,,4.03,,,,2.01414299393067
4.064,2.408,,,,,4.035,,,,2.01518088518128
4.086,2.441,,,,,4.04,,,,2.03700883650513
4.053,2.398,,,,,4.045,,,,2.00434153776246
4.06,2.474,,,,,4.05,,,,2.01137813451375
4.055,2.39,,,,,4.055,,,,2.00650467230954
4.067,2.422,,,,,4.06,,,,2.0180418727073
4.053,2.418,,,,,4.065,,,,2.00407210449125
3.99,2.42,,,,,4.07,,,,1.94105795894919
4.052,2.416,,,,,4.075,,,,2.00309011280072
4.069,2.395,,,,,4.08,,,,2.02039600078796
4.065,2.393,,,,,4.085,,,,2.01643745253851
4.023,2.408,,,,,4.09,,,,1.97418464182052
4.059,2.408,,,,,4.095,,,,2.01018133510388
4.062,2.397,,,,,,,,,2.01335863670634
4.039,2.436,,,,,,,,,1.99000025125627
4.042,2.405,,,,,,,,,1.9932257774773
4.04,2.414,,,,,,,,,1.99111074528766
4.044,2.413,,,,,,,,,1.99512129957053
4.011,2.409,,,,,,,,,1.96217226562807
3.992,2.407,,,,,,,,,1.94320173939815
3.998,2.408,,,,,,,,,1.94918701001212
4.055,2.407,,,,,,,,,2.00619540424157
4.055,2.436,,,,,,,,,2.00600024925223
4.053,2.43,,,,,,,,,2.00400623751524
4.043,2.423,,,,,,,,,1.99403610799805
4.028,2.404,,,,,,,,,1.97924278450118
4.058,2.4,,,,,,,,,2.00930485491874
4.071,2.408,,,,,,,,,2.02218025902737
4.024,2.396,,,,,,,,,1.9753850257608
4.073,2.41,,,,,,,,,2.02415439134469
4.065,2.411,,,,,,,,,2.01614285208167
4.055,2.407,,,,,,,,,2.00619540424157
4.013,2.383,,,,,,,,,1.96468827043885
4.044,2.369,,,,,,,,,1.99609143077165
4.007,2.392,,,,,,,,,1.9584721085581
3.985,2.399,,,,,,,,,1.9363346818151
4.073,2.438,,,,,,,,,2.02400222331894
4.024,2.42,,,,,,,,,1.9750569612039
4.035,2.418,,,,,,,,,1.98607275798245
4.058,2.427,,,,,,,,,2.0090159282594
4.05,2.412,,,,,,,,,2.00113217954237
4.056,2.393,,,,,,,,,2.00743941378065
4.05,2.407,,,,,,,,,2.00119589246031
4.042,2.409,,,,,,,,,1.99316958636238
4.038,2.397,,,,,,,,,1.9893629633629
4.068,2.452,,,,,,,,,2.01907156881573
4.062,2.43,,,,,,,,,2.01300620962778
4.025,2.416,,,,,,,,,1.97609134404258
4,2.416,,,,,,,,,1.95109251446465
3.988,2.401,,,,,,,,,1.93929806888988
4.045,2.412,,,,,,,,,1.9961325106315
4.051,2.418,,,,,,,,,2.00207217652112
4.061,2.394,,,,,,,,,2.01241770018056
4.045,2.446,,,,,,,,,1.9960303103911
4.03,2.418,,,,,,,,,1.98107294161523
4.027,2.432,,,,,,,,,1.97800227502397
4.061,2.439,,,,,,,,,2.01200397613921
4.065,2.424,,,,,,,,,2.01603000969728
4.056,2.439,,,,,,,,,2.00700398604487
4.082,2.383,,,,,,,,,2.03366491831865
4.018,2.398,,,,,,,,,1.96934760771175
4.068,2.422,,,,,,,,,2.0190418519684
4.063,2.409,,,,,,,,,2.01416781823164
4.057,2.376,,,,,,,,,2.00886659586942
4.049,2.435,,,,,,,,,2
4.059,2.407,,,,,,,,,2.01019501541517
4.072,2.401,,,,,,,,,2.02328569411243
4.051,2.424,,,,,,,,,2.00203021955214
4.045,2.391,,,,,,,,,1.9964849110374
4.049,2.4,,,,,,,,,2.00030622655632
4.044,2.434,,,,,,,,,1.99500025062655
4.029,2.407,,,,,,,,,1.98019796990099
4.045,2.427,,,,,,,,,1.99601603199974
4.038,2.418,,,,,,,,,1.98907264824591
4.069,2.386,,,,,,,,,2.02059421953048
4.007,2.388,,,,,,,,,1.95856401478226
4.081,2.401,,,,,,,,,2.03228442891245
4.035,2.426,,,,,,,,,1.98602039264455
4.057,2.375,,,,,,,,,2.00889621434259
4.058,2.394,,,,,,,,,2.00941832379423
4.052,2.395,,,,,,,,,2.00339936108605
4.047,2.402,,,,,,,,,1.99827250393934
4.06,2.393,,,,,,,,,2.01143853995095
4.03,2.404,,,,,,,,,1.98124253941813
4.068,2.411,,,,,,,,,2.01914263983504
4.066,2.399,,,,,,,,,2.01732124362978
4.012,2.413,,,,,,,,,1.96312327682191
4.007,2.416,,,,,,,,,1.95809218373395
